name,address,postcode,area_name,area_code,long,lat
Done Brothers (Cash Betting) Limited,"Betfred, 586E & 586F Ashton New Road, Manchester",M11 4GS,Manchester,E08000003,-2.171789,53.481792
Done Brothers (Cash Betting) Limited,"Betfred, 62 Hathersage Road, Manchester",M13 0FE,Manchester,E08000003,-2.21568,53.460121
Done Brothers (Cash Betting) Limited,"Betfred, 78 Bury Old Road, Manchester",M8 5BW,Manchester,E08000003,-2.246583,53.514325
Done Brothers (Cash Betting) Limited,"Betfred, 79 Erskine Street, Manchester",M15 4BS,Manchester,E08000003,-2.260114,53.465759
Done Brothers (Cash Betting) Limited,"Betfred, 7-9 Oldham Street, Manchester",M1 1LG,Manchester,E08000003,-2.236916,53.481806
Done Brothers (Cash Betting) Limited,"Betfred, 8 High Street, Manchester",M4 1QB,Manchester,E08000003,-2.238969,53.482789
Done Brothers (Cash Betting) Limited,"Betfred, 83 Beswick Street, Manchester",M4 7HR,Manchester,E08000003,-2.214126,53.483485
Done Brothers (Cash Betting) Limited,"Betfred, 835-837 Stockport Road, Manchester",M19 3PW,Manchester,E08000003,-2.191328,53.443894
Done Brothers (Cash Betting) Limited,"Betfred, Unit 1 Grove Village Parade, Stockport Road, Manchester",M13 0SH,Manchester,E08000003,-2.198484,53.454873
Done Brothers (Cash Betting) Limited,"Betfred, Unit 15, North City Shoppping Centre, Lee Road, Manchester",M9 4DH,Manchester,E08000003,-2.211905,53.51263
Done Brothers (Cash Betting) Limited,"Betfred, Unit 3/5 Courtletts House, 38 King Street West, Manchester",M3 2WZ,Manchester,E08000003,-2.249524,53.481455
Done Brothers (Cash Betting) Limited,"Betfred, Unit 9, Lime Square, Ashton Old Road, Manchester",M11 1DA,Manchester,E08000003,-2.164901,53.473649
Inspired Gaming (UK) Limited,"Inspired Gaming (UK) Limited, Voyager Amusements, Main Concourse, Landside Departures, Terminal One, Manchester Airport, Manchester",M90 1QX,Manchester,E08000003,-2.270841,53.361881
Talarius Limited,"Quicksilver, 31 North City Shopping Centre, Lee Road, Manchester",M9 4DH,Manchester,E08000003,-2.211905,53.51263
Talarius Limited,"Quicksilver, 466 Wilbraham Road, Manchester",M21 9AS,Manchester,E08000003,-2.278958,53.44275
Talarius Limited,"Silvers Gaming Centre, 6 Hale Top, Civic Centre, Wythenshawe, Manchester",M22 5RN,Manchester,E08000003,-2.261751,53.379276
Talarius Limited,"Silvers Gaming Centre,, Unit 1, 6 Hale TopCivic Centre, Wythenshawe, Manchester",M22 5RN,Manchester,E08000003,-2.261751,53.379276
Ladbrokes Betting & Gaming Limited,"Ladbrokes, 100 Wilmslow Road, Manchester",M14 5AJ,Manchester,E08000003,-2.223717,53.453428
