Geography,Measure Type,Unit,Value
E01006068,count,households,18
E01006069,count,households,54
E01006073,count,households,46
E01005993,count,households,10
E01005995,count,households,7
E01005996,count,households,34
E01005997,count,households,22
E01006000,count,households,25
E01005994,count,households,20
E01005999,count,households,54
E01006002,count,households,24
E01006004,count,households,11
E01006005,count,households,38
E01006007,count,households,20
E01005998,count,households,23
E01006001,count,households,23
E01006003,count,households,18
E01006006,count,households,17
E01005948,count,households,31
E01005950,count,households,37
E01005951,count,households,42
E01005952,count,households,56
E01005953,count,households,43
E01005961,count,households,11
E01005962,count,households,10
E01005968,count,households,8
E01005969,count,households,9
E01006022,count,households,7
E01006023,count,households,23
E01006070,count,households,9
E01006071,count,households,1
